Storage Interface,Colour,Screen Details,RAM Type,Removable Battery,RAM,Display Type,Weight,USB 3.1,Hard Drive RPM,USB 2.0,Touchscreen,Processor Brand,Webcam Resolution,Screen Resolution,Technologies,Input,Pointer Input,Processor,Adapter,Processor Details,Fingerprint Scanner,RJ45 LAN (Ethernet),Graphics Memory Type,Memory Slots,WiFi,Warranty,RAM Expandable Upto,Storage Type,Graphics Processor,2 in 1 Laptop (Convertible),HDMI,Bluetooth,VGA,Processor Clock Speed,Optical Drive,Video Recording,Warranty Details,Battery Type,Micro USB,Webcam,OS Version,Sales Package,Chipset,USB 3.0,Dimensions (mm),RAM Frequency,Cache,Keyboard,Secondary Storage Capacity,Storage Capacity,Mini DisplayPort,Lockport,Operating System,Battery Cell,Processor Model,Media Card Support,Speakers,Battery Capacity,Dedicated Graphics Memory,Warranty Type,USB Type C,Battery Life (Upto),SIM Card Slot,Screen Size
 SATA , Black , HD LED Backlit Display , DDR4 ,, 4GB 6 / 10 , LED , 1.4 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (6th Gen) 8 / 10 ,,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 8GB , HDD , Intel HD Graphics 520 ,,," Yes, 4.2 ",, 2GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 6006U ," SD, SDHC, SDXC ", Dual speakers ,,,,,,, 14 inch 
 SATA , Black , Full HD LED Backlit IPS Display , DDR4 ,, 8GB 8 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , AMD Radeon 520 ,,," Yes, 4.1 ",, 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 380 x 260.3 x 23.6 , 2400MHz ,, QWERTY ,, 2TB 10 / 10 ,, No , Windows , 4 Cell , 8250U ," SD, SDHC, SDXC ", Tuned Speakers ,, 2GB Graphics ,,,,, 15.6 inch 
 SATA , Black , FHD Anti-Glare LED-Backlit Display , DDR4 ,, 8GB 8 / 10 , LED ,,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio ," Microphone Jack, Headphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , AMD Radeon 520 ,,," Yes, 4.1 ", No , 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 380 x 260.3 x 23.6 , 2400MHz ,, QWERTY ,, 2TB 10 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 8250U ," SD, SDHC, SDXC ", Tuned Speakers ,, 2GB Graphics ,,,,, 15.6 inch 
 SATA , Black , Full HD LED Backlit IPS Display , DDR4 ,, 4GB 6 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 10 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 381 x 261 x 25.4 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 7020U ," SD, SDHC, SDXC ", Tuned Speakers ,,,,,,, 15.6 inch 
 SATA , Platinum Silver , Full HD LED Backlit IPS Display , DDR4 ,, 8GB 8 / 10 ,, 2 kg , Yes ,, No , No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i7 (8th Gen) 9 / 10 ,, Turbo Boost Upto 4 GHz , No , No , GDDR5 ,," Yes, IEEE 802.11ac ", 1 Year ,, SSD , NVIDIA GeForce 940MX , No , Yes ," Yes, 4.2 ", No , 1.8GHz , No ,,,, No , Yes 10 / 10 , Windows 10 ,,, No , 15.6 x 9.60 x 0.79 , 2400MHz , 8 MB ," Backlit, QWERTY ",, 256GB 9 / 10 , No ,, Windows ,, 8550U ," SD, SDHC, SDXC ", Built-in Speakers ,, 4GB Graphics , Onsite , Yes ,, No , 15.6 inch 
 SATA , Silver , Full HD LED Backlit IPS Display , DDR4 ,, 8GB 8 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 32GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 380 x 258 x 22.7 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 8250U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 15.6 inch 
 SATA , Platinum Silver , Full HD LED Backlit Anti-glare Display , DDR4 ,, 8GB 8 / 10 ,, 2.2 kg ," Yes, 2 ", 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W , Turbo Boost Upto 3.4 GHz , No , Yes , GDDR5 ,," Yes, IEEE 802.11ac ", 1 Year , Upto 32GB , HDD , AMD Radeon 530 , No , Yes ," Yes, 4.1 ", No , 1.6GHz ," Yes, CD/DVD writer ",,,, No ," Yes, HD Webcam 10 / 10 ", Windows 10 ,,, No , 14.96 x 10.24 x 0.89 , 2400MHz , 6 MB , QWERTY + Numpad ,, 2TB 10 / 10 , No ,, Windows ,, 8250U ," SD, SDHC, SDXC ", Built-in Speaker ,, 2GB Graphics , Onsite ," Yes, 1 ",, No , 15.6 inch 
 SATA , Silver , Full HD LED Backlit Anti-glare Display , DDR4 ,, 8GB 8 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 8 / 10 , 65 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ",, Upto 32GB , HDD , AMD Radeon 530 ,,," Yes, 4.1 ", Yes , 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 258 x 22.7 , 2400MHz ,, QWERTY ,, 2TB 10 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Grey , Full HD LED Backlit Anti-Glare IPS Display , DDR4 ,, 4GB 6 / 10 , LED , 2.36 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 10 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i3 (6th Gen) 8 / 10 , 41 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 520 ,,," Yes, 4.1 ",, 2GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 390 x 259 x 23.3 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 6006U ," SD, SDHC, SDXC ", Dual speakers ,,,,,,, 15.6 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 8GB 8 / 10 , LED , 1.76 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W ,, Yes 10 / 10 ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 345 x 243 x 23.3 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows ,, 8250U ," SD, SDHC, SDXC ", Stereo speakers ,,,,, 6 hours ,, 14 inch 
 SATA , Black , Anti-Glare LED-Backlit Display , DDR4 ,, 4GB 6 / 10 ,, 1.96 kg , No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i3 (7th Gen) 8 / 10 ,,, No , Yes ,,2,, 1 Year , Upto 8GB , HDD , Intel HD Graphics 520 , No , Yes ,, Yes , 2.4GHz , Yes ,,,, No , Yes 10 / 10 ,,,," Yes, 2 ", 13.58 x 9.56 x 0.91 ,, 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, Linux ,, 7100U ," SD, SDHC, SDXC ",, 40 WHr ,, Onsite , No ,, No , 14 inch 
 SATA , White , Full HD LED Backlit Anti-Glare IPS Display , DDR4 ,, 8GB 8 / 10 , LED , 2.1 kg ,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 56 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , SSD , NVIDIA GeForce GTX 1050 ,,," Yes, 4.2 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 1 ", 380 x 258 x 22.7 , 2666MHz ,, QWERTY ,, 16GB ,, Yes 10 / 10 , Windows , 4 Cell , 8300H ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , HD LED Backlit Anti-Glare TN Display , DDR4 ,, 4GB 6 / 10 , LED , 1.9 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone + Microphone Combo Jack, Microphone Jack, Headphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 ,,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 8GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 7020U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 14 inch 
 SATA , Licroice Black , Full HD LED Anti-Glare LED Backlit Display , DDR4 ,, 8GB 8 / 10 , LED ,,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 56 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1050 ,,," Yes, 5.0 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 1 ", 380 x 258 x 22.7 , 2666MHz ,," QWERTY + Numpad, Backlit ",, 128GB 8 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 8300H ," SD, SDHC, SDXC ", Front Firing Speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , HD LED Backlit Truelife Display , DDR4 , Yes , 4GB 8 / 10 ,,, No , 5400 RPM ," Yes, 1 ", No , AMD ,, 1366 x 768 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , AMD A6 APU 7 / 10 ,,, No , Yes ,,," Yes, IEEE 802.11ac ", 1 Year , Upto 8GB , HDD , AMD Radeon R5 M430 , No , Yes ," Yes, 4.1 ", No , 2GHz , Yes ,,,, No , Yes 10 / 10 , Windows 10 ,,," Yes, 2 ",, 2400MHz , 2 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, Windows ,, A6-9200 ," SD, SDHC, SDXC ", Dual Speakers ,,, Onsite , No ,, No , 15.6 inch 
 SATA , Licorine Black , Full HD LED Backlit Anti-glare Display , DDR4 ,, 8GB 8 / 10 ,, 2.22 kg ," Yes, 2 ", 5400 RPM ," Yes, 1 ", No , AMD ,, 1920 x 1080 pixels 8 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Ryzen 5 8 / 10 , 45 W , Turbo Boost Upto 3.6 GHz , No , Yes ,,," Yes, IEEE 802.11ac ", 1 Year ,, HDD , AMD Radeon RX Vega 8 , No , Yes ," Yes, 4.1 ", No , 2GHz , Yes ,,,, No ," Yes, HD Webcam 10 / 10 ", Windows 10 ,,, No , 14.96 x 10.24 x 22.7 , 2400MHz , 4 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, Windows ,, 2500U ," SD, SDHC, SDXC ", Stereo Speakers Professionally Tuned with MaxxAudio Pro ,,, Onsite , No ,, No , 15.6 inch 
 SATA , Black , HD Truelife LED-Backlit Display , DDR3 ,, 4GB 6 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 2 ", No , Intel ,, 1366 x 768 pixels 7 / 10 , HD Audio Solution ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i3 (6th Gen) 8 / 10 ,,, No , Yes ,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 520 ,, Yes ," Yes, 4.1 ",, 2GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.6 , 1600MHz , 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 ,,, Windows , 4 Cell , 6006U ," SD, SDHC, SDXC ", 2 tuned speakers ,,,,, 8 hours ,, 15.6 inch 
